,Items,Antecendete,Consequente,Suporte,Confiança,Lift
122,"{'6149ed31bcc27ca1262dd28a3f3f4ba1', 'America/Sao_Paulo', '8', 'chrome', '1366'}","{'America/Sao_Paulo', '8', 'chrome', '1366'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
121,"{'Linux', '6149ed31bcc27ca1262dd28a3f3f4ba1', 'America/Sao_Paulo', '8', '1366'}","{'Linux', 'America/Sao_Paulo', '8', '1366'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
120,"{'768', '1366', '6149ed31bcc27ca1262dd28a3f3f4ba1', 'chrome', 'amd radeon vega 8 mobile'}","{'amd radeon vega 8 mobile', '768', 'chrome', '1366'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
149,"{'768', '6149ed31bcc27ca1262dd28a3f3f4ba1', 'America/Sao_Paulo', '8', 'chrome'}","{'8', 'America/Sao_Paulo', '768', 'chrome'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
127,"{'Linux', '1366', '6149ed31bcc27ca1262dd28a3f3f4ba1', 'chrome', 'amd radeon vega 8 mobile'}","{'Linux', 'amd radeon vega 8 mobile', 'chrome', '1366'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
126,"{'1366', '6149ed31bcc27ca1262dd28a3f3f4ba1', 'America/Sao_Paulo', 'chrome', 'amd radeon vega 8 mobile'}","{'amd radeon vega 8 mobile', 'America/Sao_Paulo', 'chrome', '1366'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
131,"{'187.34.105.191', '768', '6149ed31bcc27ca1262dd28a3f3f4ba1', 'America/Sao_Paulo', 'amd radeon vega 8 mobile'}","{'America/Sao_Paulo', '187.34.105.191', '768', 'amd radeon vega 8 mobile'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
136,"{'Linux', '187.34.105.191', '6149ed31bcc27ca1262dd28a3f3f4ba1', 'America/Sao_Paulo', '8'}","{'America/Sao_Paulo', '187.34.105.191', '8', 'Linux'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
137,"{'187.34.105.191', '6149ed31bcc27ca1262dd28a3f3f4ba1', 'America/Sao_Paulo', '8', 'chrome'}","{'America/Sao_Paulo', '187.34.105.191', '8', 'chrome'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
138,"{'Linux', '187.34.105.191', '6149ed31bcc27ca1262dd28a3f3f4ba1', '8', 'chrome'}","{'Linux', '187.34.105.191', '8', 'chrome'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
133,"{'Linux', '187.34.105.191', '768', '6149ed31bcc27ca1262dd28a3f3f4ba1', 'amd radeon vega 8 mobile'}","{'Linux', '187.34.105.191', '768', 'amd radeon vega 8 mobile'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
132,"{'187.34.105.191', '768', '6149ed31bcc27ca1262dd28a3f3f4ba1', 'America/Sao_Paulo', 'chrome'}","{'America/Sao_Paulo', '187.34.105.191', '768', 'chrome'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.3,1.0,3.3333
139,"{'Linux', '187.34.105.191', '6149ed31bcc27ca1262dd28a3f3f4ba1', 'America/Sao_Paulo', 'amd radeon vega 8 mobile'}","{'Linux', '187.34.105.191', 'America/Sao_Paulo', 'amd radeon vega 8 mobile'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
130,"{'187.34.105.191', '768', '6149ed31bcc27ca1262dd28a3f3f4ba1', '8', 'chrome'}","{'8', '187.34.105.191', '768', 'chrome'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
146,"{'Windows 10', 'America/Sao_Paulo', '771d19f2dd35546be40d4e07bbad1c53', 'chrome', '1920'}","{'America/Sao_Paulo', 'chrome', 'Windows 10', '1920'}",{'771d19f2dd35546be40d4e07bbad1c53'},0.2,0.6667,3.3333
140,"{'Linux', '187.34.105.191', '6149ed31bcc27ca1262dd28a3f3f4ba1', 'America/Sao_Paulo', 'chrome'}","{'Linux', '187.34.105.191', 'America/Sao_Paulo', 'chrome'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.3,1.0,3.3333
141,"{'187.34.105.191', '6149ed31bcc27ca1262dd28a3f3f4ba1', 'America/Sao_Paulo', 'chrome', 'amd radeon vega 8 mobile'}","{'187.34.105.191', 'America/Sao_Paulo', 'chrome', 'amd radeon vega 8 mobile'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
142,"{'Linux', '187.34.105.191', '6149ed31bcc27ca1262dd28a3f3f4ba1', 'chrome', 'amd radeon vega 8 mobile'}","{'Linux', '187.34.105.191', 'chrome', 'amd radeon vega 8 mobile'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
129,"{'Linux', '187.34.105.191', '768', '6149ed31bcc27ca1262dd28a3f3f4ba1', '8'}","{'8', '187.34.105.191', '768', 'Linux'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
128,"{'187.34.105.191', '768', '6149ed31bcc27ca1262dd28a3f3f4ba1', 'America/Sao_Paulo', '8'}","{'8', '187.34.105.191', '768', 'America/Sao_Paulo'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
